=== 元数据索引构建监控开始 2026-04-29 17:38:07 ===
目标: 55,873 个向量

[17:38:07] 进度: 6,476/55,873 (11.6%) | 剩余: 49,397
[17:39:07] 进度: 6,696/55,873 (12.0%) | 剩余: 49,177
[17:40:07] 进度: 6,912/55,873 (12.4%) | 剩余: 48,961
[17:41:07] 进度: 7,136/55,873 (12.8%) | 剩余: 48,737
[17:42:07] 进度: 7,372/55,873 (13.2%) | 剩余: 48,501
[17:43:07] 进度: 7,596/55,873 (13.6%) | 剩余: 48,277
[17:44:07] 进度: 7,804/55,873 (14.0%) | 剩余: 48,069
[17:45:07] 进度: 8,032/55,873 (14.4%) | 剩余: 47,841
[17:46:07] 进度: 8,264/55,873 (14.8%) | 剩余: 47,609
[17:47:07] 进度: 8,488/55,873 (15.2%) | 剩余: 47,385
[17:48:07] 进度: 8,712/55,873 (15.6%) | 剩余: 47,161
[17:49:07] 进度: 8,940/55,873 (16.0%) | 剩余: 46,933
[17:50:07] 进度: 9,148/55,873 (16.4%) | 剩余: 46,725
[17:51:08] 进度: 9,380/55,873 (16.8%) | 剩余: 46,493
[17:52:08] 进度: 9,608/55,873 (17.2%) | 剩余: 46,265
[17:53:08] 进度: 9,832/55,873 (17.6%) | 剩余: 46,041
[17:54:08] 进度: 10,036/55,873 (18.0%) | 剩余: 45,837
[17:55:08] 进度: 10,260/55,873 (18.4%) | 剩余: 45,613
[17:56:08] 进度: 10,476/55,873 (18.7%) | 剩余: 45,397
[17:57:08] 进度: 10,708/55,873 (19.2%) | 剩余: 45,165
[17:58:08] 进度: 10,928/55,873 (19.6%) | 剩余: 44,945
[17:59:08] 进度: 11,160/55,873 (20.0%) | 剩余: 44,713
[18:00:08] 进度: 11,372/55,873 (20.4%) | 剩余: 44,501
[18:01:08] 进度: 11,600/55,873 (20.8%) | 剩余: 44,273
[18:02:08] 进度: 11,828/55,873 (21.2%) | 剩余: 44,045
[18:03:08] 进度: 12,052/55,873 (21.6%) | 剩余: 43,821
[18:04:08] 进度: 12,272/55,873 (22.0%) | 剩余: 43,601
[18:05:08] 进度: 12,500/55,873 (22.4%) | 剩余: 43,373
[18:06:08] 进度: 12,720/55,873 (22.8%) | 剩余: 43,153
[18:07:08] 进度: 12,964/55,873 (23.2%) | 剩余: 42,909
[18:08:08] 进度: 13,184/55,873 (23.6%) | 剩余: 42,689
[18:09:08] 进度: 13,388/55,873 (24.0%) | 剩余: 42,485
[18:10:08] 进度: 13,636/55,873 (24.4%) | 剩余: 42,237
[18:11:08] 进度: 13,868/55,873 (24.8%) | 剩余: 42,005
[18:12:08] 进度: 14,096/55,873 (25.2%) | 剩余: 41,777
[18:13:09] 进度: 14,312/55,873 (25.6%) | 剩余: 41,561
[18:14:09] 进度: 14,536/55,873 (26.0%) | 剩余: 41,337
[18:15:09] 进度: 14,764/55,873 (26.4%) | 剩余: 41,109
[18:16:09] 进度: 14,988/55,873 (26.8%) | 剩余: 40,885
[18:17:09] 进度: 15,196/55,873 (27.2%) | 剩余: 40,677
[18:18:09] 进度: 15,460/55,873 (27.7%) | 剩余: 40,413
[18:19:09] 进度: 15,672/55,873 (28.0%) | 剩余: 40,201
[18:20:09] 进度: 15,912/55,873 (28.5%) | 剩余: 39,961
[18:21:09] 进度: 16,128/55,873 (28.9%) | 剩余: 39,745
[18:22:09] 进度: 16,348/55,873 (29.3%) | 剩余: 39,525
[18:23:09] 进度: 16,576/55,873 (29.7%) | 剩余: 39,297
[18:24:09] 进度: 16,804/55,873 (30.1%) | 剩余: 39,069
[18:25:09] 进度: 17,028/55,873 (30.5%) | 剩余: 38,845
[18:26:09] 进度: 17,264/55,873 (30.9%) | 剩余: 38,609
[18:27:09] 进度: 17,492/55,873 (31.3%) | 剩余: 38,381
[18:28:09] 进度: 17,708/55,873 (31.7%) | 剩余: 38,165
[18:29:09] 进度: 17,936/55,873 (32.1%) | 剩余: 37,937
